CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
20366,No,No Priority,No Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,8
20370,No,Slight Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,8
20371,Yes,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,8
20377,No,Very High Priority,High Priority,No Priority,No Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,Very High Priority,High Priority,Slight Priority,Very High Priority,Very High Priority,8
20378,No,No Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
20384,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
20385,Yes,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20386,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,High Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,Very High Priority,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,8
20388,No,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,8
20389,No,High Priority,Very High Priority,Moderate Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority
20394,No,Moderate Priority,High Priority,Slight Priority,No Priority,High Priority,High Priority,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Slight Priority,High Priority,8
20395,No,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Slight Priority,8
20400,No,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,8
20410,No,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,8
20411,No,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20412,No,Moderate Priority,Very High Priority,Moderate Priority,No Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
20414,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20423,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority
20424,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20427,No,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20429,No,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
20434,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20438,Yes,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,8
20439,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,No Priority,8
20452,No,Moderate Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20454,No,Slight Priority,Slight Priority,High Priority,High Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority
20455,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,8
20458,No,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,8
20465,No,High Priority,Moderate Priority,Slight Priority,No Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,8
20479,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,8
20480,No,Very High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
20481,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20484,Yes,Moderate Priority,High Priority,High Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
20485,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,8
20488,Yes,Slight Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Very High Priority
20489,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20490,Yes,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Slight Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
20491,No,Very High Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority
20495,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20501,No,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20502,No,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20504,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20505,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,8
20512,No,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20516,No,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,8
20520,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
20521,No,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20522,No,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
20523,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20528,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
20536,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
20537,Yes,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20540,No,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,8
20542,No,Moderate Priority,9,Slight Priority,Slight Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20546,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,8
20552,No,Moderate Priority,Slight Priority,High Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,No Priority,No Priority,Very High Priority,Very High Priority,8
20553,No,No Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,High Priority,8
20560,No,Very High Priority,Very High Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
20562,Yes,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20564,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20566,Yes,No Priority,Moderate Priority,Very High Priority,Very High Priority,No Priority,Very High Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20569,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20580,No,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20587,No,High Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20588,No,Moderate Priority,Slight Priority,No Priority,No Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,No Priority,No Priority,8
20591,No,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
20602,No,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
20603,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
20605,No,Moderate Priority,Slight Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20608,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
20609,No,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20618,Yes,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,8
20620,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20621,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,8
20623,No,High Priority,Very High Priority,No Priority,No Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,8
20638,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Slight Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Moderate Priority,8
20642,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20643,No,No Priority,No Priority,No Priority,No Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,No Priority,No Priority,Slight Priority,No Priority,No Priority,No Priority,8
20648,No,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,9
20649,No,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,8
20650,Yes,High Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20652,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20653,No,Moderate Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,8
20655,No,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20656,No,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
20660,No,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Very High Priority,No Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,8
20661,No,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20664,Yes,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,8
20665,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
20671,Yes,Slight Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
20675,No,High Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Very High Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,8
20680,Yes,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
20696,No,Very High Priority,Moderate Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,8
20698,No,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20701,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority
20711,Yes,Slight Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20714,No,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
20716,Yes,Very High Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
20722,Yes,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20726,No,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,No Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
20734,No,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
20735,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,8
20737,No,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
20739,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20756,Yes,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20757,Yes,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20763,No,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,8
20765,No,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
20767,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20768,Yes,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,8
20769,Yes,Slight Priority,Slight Priority,No Priority,No Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority
20770,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,8
20773,No,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
20774,No,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
20777,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20778,Yes,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Moderate Priority,High Priority,Slight Priority,High Priority
20783,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,8
20784,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
20791,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,8
20794,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Moderate Priority,8
20797,Yes,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20798,No,Moderate Priority,Slight Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20799,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,High Priority,8
20819,No,Moderate Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,No Priority,No Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
20823,No,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,High Priority,8
20824,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,8
20830,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
20832,No,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,8
